Freq.	V(vout)
9.77237220955798e+003	2.65170425780300e-004 -1.62818951730316e-002
9.99999999999987e+003	2.53238812965166e-004 -1.59114638883031e-002
1.02329299228074e+004	2.41843945320980e-004 -1.55494519783526e-002
1.04712854805089e+004	2.30961688720701e-004 -1.51956686400778e-002
1.07151930523759e+004	2.20568993195372e-004 -1.48499273572167e-002
1.09647819614317e+004	2.10643844319787e-004 -1.45120458065235e-002
1.12201845430195e+004	2.01165216770269e-004 -1.41818457658314e-002
1.14815362149687e+004	1.92113029958195e-004 -1.38591530239736e-002
1.17489755493951e+004	1.83468105647124e-004 -1.35437972925370e-002
1.20226443461740e+004	1.75212127465399e-004 -1.32356121194219e-002
